"Afghanistan","AFG",37172386
"Albania","ALB",2866376
"Algeria","DZA",42228429
"American Samoa","ASM",55465
"Andorra","AND",77006
"Angola","AGO",30809762
"Antigua and Barbuda","ATG",96286
"Arab World","ARB",419790588
"Argentina","ARG",44494502
"Armenia","ARM",2951776
"Aruba","ABW",105845
"Australia","AUS",24992369
"Austria","AUT",8847037
"Azerbaijan","AZE",9942334
"Bahamas, The","BHS",385640
"Bahrain","BHR",1569439
"Bangladesh","BGD",161356039
"Barbados","BRB",286641
"Belarus","BLR",9485386
"Belgium","BEL",11422068
"Belize","BLZ",383071
"Benin","BEN",11485048
"Bermuda","BMU",63968
"Bhutan","BTN",754394
"Bolivia","BOL",11353142
"Bosnia and Herzegovina","BIH",3323929
"Botswana","BWA",2254126
"Brazil","BRA",209469333
"British Virgin Islands","VGB",29802
"Brunei Darussalam","BRN",428962
"Bulgaria","BGR",7024216
"Burkina Faso","BFA",19751535
"Burundi","BDI",11175378
"Cabo Verde","CPV",543767
"Cambodia","KHM",16249798
"Cameroon","CMR",25216237
"Canada","CAN",37058856
"Caribbean small states","CSS",7358965
"Cayman Islands","CYM",64174
"Central African Republic","CAF",4666377
"Central Europe and the Baltics","CEB",102511922
"Chad","TCD",15477751
"Channel Islands","CHI",170499
"Chile","CHL",18729160
"China","CHN",1392730000
"Colombia","COL",49648685
"Comoros","COM",832322
"Congo, Dem. Rep.","COD",84068091
"Congo, Rep.","COG",5244363
"Costa Rica","CRI",4999441
"Cote d'Ivoire","CIV",25069229
"Country Name","Country Code",2018
"Croatia","HRV",4089400
"Cuba","CUB",11338138
"Curacao","CUW",159849
"Cyprus","CYP",1189265
"Czech Republic","CZE",10625695
"Denmark","DNK",5797446
"Djibouti","DJI",958920
"Dominica","DMA",71625
"Dominican Republic","DOM",10627165
"Early-demographic dividend","EAR",3249140605
"East Asia & Pacific","EAS",2328220870
"East Asia & Pacific (excluding high income)","EAP",2081651801
"East Asia & Pacific (IDA & IBRD countries)","TEA",2056064424
"Ecuador","ECU",17084357
"Egypt, Arab Rep.","EGY",98423595
"El Salvador","SLV",6420744
"Equatorial Guinea","GNQ",1308974
"Eritrea","ERI",3213970
"Estonia","EST",1320884
"Eswatini","SWZ",1136191
"Ethiopia","ETH",109224559
"Euro area","EMU",341783171
"Europe & Central Asia","ECS",918793590
"Europe & Central Asia (excluding high income)","ECA",417797257
"Europe & Central Asia (IDA & IBRD countries)","TEC",459865205
"European Union","EUU",513213363
"Faroe Islands","FRO",48497
"Fiji","FJI",883483
"Finland","FIN",5518050
"Fragile and conflict affected situations","FCS",515215936
"France","FRA",66987244
"French Polynesia","PYF",277679
"Gabon","GAB",2119275
"Gambia, The","GMB",2280102
"Georgia","GEO",3731000
"Germany","DEU",82927922
"Ghana","GHA",29767108
"Gibraltar","GIB",33718
"Greece","GRC",10727668
"Greenland","GRL",56025
"Grenada","GRD",111454
"Guam","GUM",165768
"Guatemala","GTM",17247807
"Guinea","GIN",12414318
"Guinea-Bissau","GNB",1874309
"Guyana","GUY",779004
"Haiti","HTI",11123176
"Heavily indebted poor countries (HIPC)","HPC",780234406
"High income","HIC",1210312147
"Honduras","HND",9587522
"Hong Kong SAR, China","HKG",7451000
"Hungary","HUN",9768785
"IBRD only","IBD",4772284113
"Iceland","ISL",353574
"IDA & IBRD total","IBT",6412522234
"IDA blend","IDB",555830605
"IDA only","IDX",1084407516
"IDA total","IDA",1640238121
"India","IND",1352617328
"Indonesia","IDN",267663435
"Iran, Islamic Rep.","IRN",81800269
"Iraq","IRQ",38433600
"Ireland","IRL",4853506
"Isle of Man","IMN",84077
"Israel","ISR",8883800
"Italy","ITA",60431283
"Jamaica","JAM",2934855
"Japan","JPN",126529100
"Jordan","JOR",9956011
"Kazakhstan","KAZ",18276499
"Kenya","KEN",51393010
