product,consom,unit,tax,currency,geo\time	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 	1998S2 	1998S1 	1997S2 	1997S1 	1996S2 	1996S1 	1995S2 	1995S1 	1994S2 	1994S1 	1993S2 	1993S1 	1992S2 	1992S1 	1991S2 	1991S1 	1990S1 	1989S1 	1988S1 	1987S1 	1986S1 	1985S1 
6000,4161050,KWH,I_TAX,EUR,AT	0.2393 	0.2324 	0.1973 	0.1732 	0.1937 	0.1972 	0.1958 	0.1946 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161050,KWH,I_TAX,EUR,AT13_31_33	: 	: 	: 	: 	: 	: 	: 	0.1946 	0.1726 	0.1782 	0.1786 	0.1660 	0.1603 	0.1599 	0.1599 	0.1505 	0.1552 	0.1552 	0.1539 	0.1537 	0.1534 	0.1560 	0.1591 	0.1522 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161050,KWH,I_TAX,EUR,BE	0.2526 	0.2503 	0.2161 	0.2124 	0.2115 	0.2107 	0.1940 	0.1873 	0.1825 	0.1822 	0.1803 	0.1877 	0.1805 	0.1855 	0.1824 	0.2030 	0.2087 	0.2095 	0.2104 	0.2085 	0.2154 	0.2167 	0.2261 	0.2320 	0.2326 	0.2289 	0.2216 	0.2166 	0.2385 	0.2382 	0.2260 	0.2186 	0.2171 	0.2149 	0.2135 	0.2055 	0.2058 	0.2034 	0.2060 	0.1990 
6000,4161050,KWH,I_TAX,EUR,BG	0.0670 	0.0670 	0.0603 	0.0583 	0.0588 	0.0583 	0.0578 	0.0542 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161050,KWH,I_TAX,EUR,CY	0.1486 	0.1527 	0.1576 	0.1581 	0.1353 	0.1224 	0.1205 	0.1243 	0.1221 	0.1236 	0.1187 	0.1104 	: 	0.1270 	: 	0.1098 	: 	0.0743 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161050,KWH,I_TAX,EUR,CZ	0.1929 	0.1965 	0.1789 	0.1772 	0.1455 	0.1449 	0.1357 	0.1323 	0.1309 	0.1324 	0.1399 	0.1297 	0.1122 	0.1161 	0.1059 	0.1047 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161050,KWH,I_TAX,EUR,DE	: 	0.2953 	0.2862 	0.2819 	0.2776 	0.2751 	0.2591 	0.2629 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161050,KWH,I_TAX,EUR,DE11100001	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2816 	0.2788 	0.2796 	0.2838 	0.2895 	0.2931 	0.3192 	0.3136 	0.3112 	0.3074 	0.3028 	0.3017 	0.2950 	0.2954 	0.2617 	0.2624 	0.2649 	0.2590 	0.2584 	0.2525 	0.2295 	0.2251 
6000,4161050,KWH,I_TAX,EUR,DE21200001	: 	: 	: 	: 	: 	: 	: 	: 	0.2643 	0.2571 	0.2496 	0.2263 	0.2266 	0.1964 	0.1964 	0.1964 	0.2304 	0.2020 	0.2002 	0.1982 	0.1979 	0.2009 	0.2049 	0.2075 	0.2331 	0.2290 	0.2270 	0.2242 	0.2215 	0.2044 	0.1948 	0.1950 	0.2351 	0.2357 	0.2379 	0.2328 	0.2321 	0.2263 	0.2121 	0.2081 
6000,4161050,KWH,I_TAX,EUR,DE60000001	: 	: 	: 	: 	: 	: 	: 	: 	0.2587 	0.2587 	0.2738 	0.2738 	0.2710 	0.2710 	0.2603 	0.2603 	0.2752 	0.2687 	0.2710 	0.2683 	0.2679 	0.2720 	0.2829 	0.2864 	0.3093 	0.3039 	0.2881 	0.2846 	0.2806 	0.2707 	0.2582 	0.2343 	0.2336 	0.2339 	0.2421 	0.2369 	0.2360 	0.2291 	0.2145 	0.2106 
6000,4161050,KWH,I_TAX,EUR,DE71200001	: 	: 	: 	: 	: 	: 	: 	: 	0.2493 	0.2493 	0.2189 	0.2189 	0.2177 	0.2177 	0.2105 	0.2105 	0.2153 	0.1957 	0.1940 	0.1921 	0.1918 	0.1947 	0.1986 	0.2011 	0.2196 	0.2158 	0.2141 	0.2043 	0.2014 	0.2006 	0.1920 	0.1923 	0.2283 	0.2403 	0.2425 	0.2373 	0.2366 	0.2310 	0.2164 	0.2123 
6000,4161050,KWH,I_TAX,EUR,DE80300001	: 	: 	: 	: 	: 	: 	: 	: 	0.2859 	0.2423 	0.2715 	0.2715 	0.2316 	0.2316 	0.2277 	0.2277 	0.2424 	0.2307 	0.2287 	0.2264 	0.2261 	0.2295 	0.2341 	0.2370 	0.2350 	0.2308 	0.2288 	0.2260 	0.2250 	0.2242 	0.1963 	: 	: 	: 	: 	: 	: 	: 	: 	: 
6000,4161050,KWH,I_TAX,EUR,DE92100001	: 	: 	: 	: 	: 	: 	: 	: 	0.2260 	0.2260 	0.2230 	0.2230 	0.2201 	0.2201 	0.2135 	0.2105 	0.2123 	0.2005 	0.1987 	0.1967 	0.1953 	0.1982 	0.2022 	0.2047 	0.2227 	0.2188 	0.2168 	0.2142 	0.2179 	0.2171 	0.2067 	0.2070 	0.2061 	0.1982 	0.2000 	0.1957 	0.2341 	0.2277 	0.2132 	0.2091 
