land,spredning
Angola,massive
Chad,massive
Afghanistan,massive
Cambodia,massive
Thailand,massive
Azerbajan,massive
BiH,massive
Croatia,massive
Turkey,massive
Iraq,massive
Yemen,massive
Western Sahara,massive
Eritrea,high
Ethiopia,high
Somalia,high
South Sudan,high
Zimbabwe,high
Columbia,high
Sri Lanka,high
Lebanon,high
Sudan,medium
Argentina,medium
Chile,medium
Nagorno Karabach,medium
Tajikistan,medium
UK,medium
DRC,low
Niger,low
Somaliland,low
Equador,low
Peru,low
Armenia,low
Cyprus,low
Kosovo,low
Serbia,low
Jordan,low
Palestine,low
Nigeria,na
Senegal,na
Cuba,na
China,na
India,na
North Korea,na
South Korea,na
Lao,na
Myanmar,na
Pakistan,na
Vietnam,na
Georgia,na
Kyrgistan,na
Russia,na
Ukraine,na
Uzbekistan,na
Egypt,na
Iran,na
Israel,na
Libya,na
Morocco,na
Oman,na
Syria,na
"",""
"",""
"",""
"",""
