"lovbruddstype",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Alle",420762,407377,394301,400322,398199,386251,397581,394137,380092,393674,388506,372107,351459,336413,318617,317927
"Eiendomstyveri",190236,181369,168083,161834,155888,151617,160888,152076,148846,156184,146831,132989,115643,105144,94887,92866
"Annet vinningslovbrudd",35118,26812,26781,27631,26958,25634,28346,26992,26029,26837,26791,26285,28583,31064,28907,30540
"Eiendomsskade",21816,20536,21078,22460,23488,24014,24737,21550,19730,18317,18448,17639,17217,17293,17474,17270
"Vold og mishandling",31224,31987,31498,32338,32777,33513,33939,34215,34099,34674,35147,34111,35003,34969,36687,37461
"Seksuallovbrudd",3322,3608,3311,3586,3802,3944,4219,4271,4612,4719,4823,4780,5709,7079,7986,8386
"Rusmiddellovbrudd",47526,48001,48349,52911,51803,47933,49112,55174,52129,56090,59436,58450,55237,50293,46930,45699
"Ordens- og integritetskrenkelse",34874,35166,35486,37069,37366,36872,37048,40483,39815,39990,41748,41744,40134,36646,35308,36307
"Trafikkovertredelse",51603,54789,54166,56816,60678,57111,53548,54110,49468,51932,50383,51102,48915,49032,45749,44953
"Annet lovbrudd",5043,5109,5549,5677,5439,5613,5744,5266,5364,4931,4899,5007,5018,4893,4689,4445
