id_2019,id_2020,name_2019,name_2020,change,population,areal,land,poplandratio,countyid_2019,county_2019,countyid_2020,county_2020
5016,5059,Agdenes,Orkland,36,1693,317,297,6,50,TRØNDELAG,50,TRØNDELAG
1820,1820,Alstahaug,Alstahaug,null,7415,188,187,40,18,NORDLAND,18,NORDLAND
2012,5403,Alta,Alta,null,20665,3849,3653,6,20,FINNMARK,54,TROMS OG FINNMARK
0438,3428,Alvdal,Alvdal,null,2418,942,919,3,4,HEDMARK,34,INNLANDET
1871,1871,Andøy,Andøy,null,4771,656,617,8,18,NORDLAND,18,NORDLAND
0118,3012,Aremark,Aremark,null,1357,319,282,5,1,ØSTFOLD,30,VIKEN
0906,4203,Arendal,Arendal,null,44785,270,255,176,9,AUST-AGDER,42,AGDER
0220,3025,Asker,Asker,10,61523,101,97,635,2,AKERSHUS,30,VIKEN
0124,3014,Askim,Indre Østfold,6,15865,69,66,240,1,ØSTFOLD,30,VIKEN
1428,4645,Askvoll,Askvoll,null,3038,326,313,10,14,SOGN OG FJORDANE,46,VESTLAND
1247,4627,Askøy,Askøy,null,29275,101,94,310,12,HORDALAND,46,VESTLAND
1027,4225,Audnedal,Lyngdal,15,1780,251,236,8,10,VEST-AGDER,42,AGDER
1547,1547,Aukra,Aukra,null,3539,59,59,60,15,MØRE OG ROMSDAL,15,MØRE OG ROMSDAL
1576,1576,Aure,Aure,null,3553,641,622,6,15,MØRE OG ROMSDAL,15,MØRE OG ROMSDAL
1421,4641,Aurland,Aurland,null,1764,1468,1376,1,14,SOGN OG FJORDANE,46,VESTLAND
0221,3026,Aurskog-Høland,Aurskog-Høland,7,16500,962,894,18,2,AKERSHUS,30,VIKEN
1244,4625,Austevoll,Austevoll,null,5212,117,114,46,12,HORDALAND,46,VESTLAND
1264,4632,Austrheim,Austrheim,null,2887,58,57,51,12,HORDALAND,46,VESTLAND
1554,1554,Averøy,Averøy,null,5849,176,173,34,15,MØRE OG ROMSDAL,15,MØRE OG ROMSDAL
1418,4640,Balestrand,Sogndal,28,1279,429,411,3,14,SOGN OG FJORDANE,46,VESTLAND
1854,1806,Ballangen,Narvik,43,2470,932,846,3,18,NORDLAND,18,NORDLAND
1933,5422,Balsfjord,Balsfjord,null,5625,1497,1441,4,19,TROMS,54,TROMS OG FINNMARK
0814,3813,Bamble,Bamble,null,14089,304,282,50,8,TELEMARK,38,VESTFOLD OG TELEMARK
1922,5416,Bardu,Bardu,null,4030,2704,2516,2,19,TROMS,54,TROMS OG FINNMARK
1839,1839,Beiarn,Beiarn,null,1022,1222,1179,1,18,NORDLAND,18,NORDLAND
1929,5421,Berg,Senja,46,888,294,276,3,19,TROMS,54,TROMS OG FINNMARK
1201,4601,Bergen,Bergen,null,281190,465,445,632,12,HORDALAND,46,VESTLAND
2024,5440,Berlevåg,Berlevåg,null,981,1122,1083,1,20,FINNMARK,54,TROMS OG FINNMARK
1811,1811,Bindal,Bindal,null,1450,1264,1192,1,18,NORDLAND,18,NORDLAND
0928,4216,Birkenes,Birkenes,null,5212,637,596,9,9,AUST-AGDER,42,AGDER
1114,1114,Bjerkreim,Bjerkreim,null,2807,651,577,5,11,ROGALAND,11,ROGALAND
5017,5057,Bjugn,Ørland,38,4904,384,356,14,50,TRØNDELAG,50,TRØNDELAG
1804,1804,Bodø,Bodø,null,52024,1395,1311,40,18,NORDLAND,18,NORDLAND
