Verdensdel,Land/region,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Africa,Mali,67516.942,57916.0524,60518.48,56776.3976234,52980.664,53950.625,89020.343,108221.31327,94204.495,85145.493,78903.232,96384.468,74559.945004,94753.972419,131585.6835,125746.998409,138955.089509,145011.830672,1612152.0248064003
Africa,Afrika nord for Sahara regional,,,25.073,,,1439.284,2061.363,4390.306,2997.257,1907.3,272.16,351.32,32928.4,1806.268719,8161.551999,1224.809233,6399.999999,9600.0003,73565.09325
Africa,Namibia,41723.61448,63006.89955,33374.9,27201.8189426,26992.636,18333.76015,10510.071,60021.78513,17328.425,58658.725,-42223.155,-18010.144,13063.280351,13142.632787,11630.670121,9390.857957,11386.811999,5271.382817,360804.97228459996
Africa,Kapp Verde,156.344,495.847,1483.338,500.88,531.224,48.6,58.32,45.0,63.0,58.32,247.656,,99.65915,500.0,101.18475,365.75,,,4755.1229
Africa,Republikken Kongo,11318.799,17454.764,3015.105,2880.0855966,4895.996,11652.892,16999.226,6409.755,4046.696,250.001,651.302,3418.473,514.40299,366.122461,2460.045401,3061.188664,1937.100856,3025.86109,94357.81605860002
Africa,Sør-Sudan,,,,,,,,,,,,,349884.352479,436333.700231,535606.201985,598473.577663,472370.517912,560856.667958,2953525.018228
Africa,Kenya,15457.338,25413.623,36319.027,23674.4429428,72685.125,53532.133,63440.87706,79133.69834,76415.16315,121440.82662,97465.72176,80837.62141,110640.806029,84124.160167,138257.484291,106179.636295,112658.671865,86491.204461,1384167.5603908
Africa,Mauritania,2814.363,3316.5,3763.14,4242.7990736,5799.823,4989.171,5345.459,2865.26441,3886.36,5217.0,4109.0,3564.0,3564.0,12718.339678,6074.949827,4800.940852,6175.822996,779.999999,84026.93283560002
Africa,São Tomé og Príncipe,,913.049,,,,,798.81923,606.71906,200.0,46.592,,,,3505.30736,1447.82444,2111.68183,,,9629.99292
Africa,Niger,13062.63,4193.403,23651.195,18936.1314989,13213.809,13104.02,38665.831,15907.057,9709.816,10692.131,10230.268,21085.818,10176.29759,38646.105911,58424.677819,65530.992277,90284.079935,122129.531497,577643.7945278999
Africa,Benin,,0.363,915.904,1049.1886841,1506.051,1466.122,415.285,,,,,313.33823,71.99375,,,,152.999999,153.0,6044.2456631
Africa,Eritrea,58004.71126,56391.50372,40887.774,107450.7246642,152528.47,125529.87597,121319.73128,114801.79029,59665.30023,50777.47067,60449.45312,58199.42923,45234.334228,18619.838203,1341.388299,852.279998,11046.43009,16713.553993,1099814.0592451997
Africa,Zimbabwe,103945.09244,85950.73141,91770.029,57398.6301668,48503.124,54599.28905,87328.24139,71882.1685,73457.66455,123028.961,180134.88758,146419.63962,124926.395925,158556.217859,200308.623355,132192.296552,132703.844814,89853.531807,1962959.3690188
Africa,Sentralafrikanske republikk,96.619,2795.46,,,1544.155,3300.65,7752.0,36205.054,6726.536,7000.0,4000.0,,,,45287.073483,116322.704073,81469.070998,58548.932947,371048.255501
Africa,Algerie,7419.406,9231.857,18968.636,25786.338397,23765.435,10553.241,4782.409,6667.856,7458.413,350.0,5741.46,6163.6,5056.464314,1114.040529,624.415,349.3,5692.23483,5119.981,144845.08707
Africa,Rwanda,37723.363,37600.024,19001.561,48621.9227639,56386.849,42038.793,28997.862,25559.372,43513.693,21483.182,22329.55656,26383.057,19022.675659,13776.96863,13071.382156,14411.647372,17717.115314,21653.287548,509292.3120029
Africa,Tunisia,2029.207,1484.078,287.741,587.8246105,488.257,539.731,208.251,,,5.49163,,,,2500.0,612.999999,6620.423215,25212.1738,16067.52345,56643.7017045
Africa,Komorene,,,,180.939,,,166.206,,,5357.0,,,,,,,,,5704.145
Africa,Seychellene,,,120.0,36.756,61.805,72.872,,,,,,,,,,,,,291.433
Africa,Sudan,110964.254,124727.626,118561.002,186293.6652896,235820.834,385392.393,635722.11963,686008.29318,700148.45347,683965.60916,578177.16534,705370.74009,251104.910457,185261.866828,199286.356888,172971.917139,96904.847195,116192.480262,6172874.533928601
Africa,Madagaskar,26565.09223,39666.6577,37975.274,45546.8848684,43585.384,57331.134,75577.52332,103249.45618,118500.12659,128533.50116,52400.72916,78354.91139,72298.746968,81699.617929,74217.295088,71270.604929,52789.279938,62766.384835,1222328.6042854
Africa,Libya,,,,,,,1200.398,525.266,,,,,81300.0,12729.284058,4991.082018,,-77.64868,16850.0,117518.38139600001
