Mygroup,Partnergruppe,Partner,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Multilateral (other),Multilateral organisations,GFATM,,,,130000.0,138300.0,125000.0,151541.0,271041.0,301000.0,375000.0,375000.0,375000.0,450000.0,450000.0,450000.0,500000.0,600000.0,600000.0,5291882.0
Multilateral (other),Multilateral organisations,Andre,431046.40491,492686.54073,327614.545,409173.9611,475820.204,465395.93548,756095.27983,741941.52205,720839.57168,849570.45555,1217698.7486,1041489.07045,1246470.39544,2283768.24846,1622411.23601,2005196.6025,2381035.20798,1799619.91706,1.926787384683E7
Multilateral (other),Multilateral organisations,Regionale utviklingsbanker,304624.095,424238.242,441781.947,456499.00256,505462.797,552054.82574,591457.74206,642488.175,808626.69236,871166.05036,875299.10096,879151.39218,788780.80643,996445.02152,812922.54427,1427019.03219,935685.11587,920325.89919,1.323402848169E7
Multilateral (other),Multilateral organisations,GAVI,,10232.3,198182.36,199752.844,155000.0,290000.0,290000.0,415500.0,470025.776,472441.856,462564.014,490612.515,428600.0,606218.0,749432.067,1088532.0,1190000.0,1348474.46731,8865568.199310001
UN, Multilateral organisations,FN - andre,1878097.07053,1763388.78808,1982712.293,2180521.18383,2063974.47,2140651.29269,2915833.84827,2863469.48383,3330400.43435,3337034.73164,3853615.22885,3914760.57462,3834474.095175,3999449.4918,4927883.216736,4549318.22345,5017868.51314,4705237.52798,5.9258690467971E7
UNICEF,Multilateral organisations,FN - UNICEF,498479.22699,523977.74185,606000.867,665643.40975,776705.83,900102.057,1338447.57384,1152461.09665,1135125.40075,1186608.0405,1297689.89096,1318524.40733,1310074.64435,1366473.67621,1403517.79103,1248488.43808,1365577.4833,1675944.27358,1.976984184917E7
Wolrd Bank,Multilateral organisations,Verdensbanken,749283.9038,576298.58998,1254230.963,1306572.7135,1295969.2,1506412.66674,1831097.35523,1627790.49218,1806057.23316,2489956.91315,2291158.62725,2651053.95548,2529585.0821,1967364.30548,2682360.47467,3394473.2156,2470812.62087,2943123.11836,3.5373601430549994E7
UNDP,Multilateral organisations,FN - UNDP,764699.52177,774760.23919,906203.839,1118552.40573,1129781.335,1106290.049,1350392.66514,1435922.42118,1716369.01348,1685526.69614,1731566.59844,1944290.83414,1887705.84206,1596581.22871,1692688.14176,1672584.87684,1741552.54954,1733232.76492,2.5988701022039995E7
Norwegian NGOs,Norwegian non-governmental organisations,Flyktninghjelpen,238259.734,226433.53,252729.71,259230.763,295663.097,299927.698,344030.162,434288.415,487747.368,475918.695,451821.741,552111.473,524998.361,500909.90885,714645.5362,726278.060387,749499.704984,873003.194428,8407497.151849002
Norwegian NGOs,Norwegian non-governmental organisations,Norsk Folkehjelp,325723.112,316975.09327,266036.246,306904.6319621,267041.288,312005.322,358341.335,421145.70397,403727.806,381298.68505,385390.2515,344262.9705,365489.500952,353999.801738,347399.902583,361497.323032,359210.961963,448300.053781,6324749.9893010985
Norwegian NGOs,Norwegian non-governmental organisations,Redd Barna Norge,136985.10494,138928.47422,141569.56,156291.30479,181663.513,162974.0917,187456.39651,177806.25185,196708.14892,223033.152,218200.813,200463.10338,182701.531,174874.156486,219588.999947,277606.233972,415152.13705,417076.435889,3809079.408654
Norwegian NGOs,Norwegian non-governmental organisations,Andre,856523.62353,790480.49633,868388.269,808390.12885,926581.84,973240.74029,1202104.047,1156865.23117,1360575.81776,1382841.28497,1496803.89678,1456917.97698,1447529.094322,1551278.420177,1643614.157546,1683871.392029,1718947.662517,1528562.728708,2.2853516807958998E7
Norwegian NGOs,Norwegian non-governmental organisations,Norges Røde Kors,317360.74557,290389.531,392262.013,350089.0125,355874.012,354177.413,449005.624,418899.648,388993.201,415361.526,434725.057,472712.043,455823.056968,587475.866616,735558.969,644644.690048,702657.703444,990319.477066,8756329.589212
Norwegian NGOs,Norwegian non-governmental organisations,Digni,4326.0,4341.793,4617.167,129528.646,140535.619,138497.32,144572.991,140799.305,139936.73,142010.61586,143200.0,145061.805,150791.80475,163852.584717,180762.016468,180649.625694,184193.524457,163960.928608,2301638.476554
Norwegian NGOs,Norwegian non-governmental organisations,Kirkens Nødhjelp,301511.374,259611.607,322689.869,345052.02896,363062.706,346198.444,396893.264,482353.411,436764.3066,488579.99253,452964.335,469290.0413,408345.5101,407320.907526,440644.465467,605944.495376,524122.473445,588307.352525,7639656.583829
Int. & local NGOs,International and local non-governmental organisations,Andre,463126.6249,538575.96722,621583.787,573494.65771,652201.373,640422.05198,769526.91172,866192.79173,1316808.27995,1435565.00219,1866021.04244,1985648.32427,2388795.306,2210962.817815,2418042.109116,2532864.483939,2478572.14066,1978064.354931,2.5736468026571006E7
Public sector (in Norway),Public sector in Norway/other donors,Andre,1379776.34564,1841130.47812,1731083.728,2386683.0540011,2721295.01404,2308991.03568,2380687.93086,2889040.03145,3824296.6808,3690336.51042,4971208.44988,5030381.13848,5105482.42794,5443645.11817,4998425.824818,6188572.14058,8542114.09424,1.155795425608E7,7.69911042591991E7
Public sector (recipient),Public sector in recipient country,Andre,1513708.64854,1555254.84176,1406942.948,1404442.78144,1622882.2,1554400.21609,1832011.84973,2006831.25784,2275830.1631,2168602.06573,2102148.74283,2241819.37567,1803434.97502,2083985.85545,5572159.17267,2437016.95122,2713271.47391,1992665.87016,3.828740938916001E7
Other,Private sector,Andre,230897.52482,231918.54121,273861.95,315839.4258,310879.86454,462424.86238,556502.5446,475484.09702,447115.60504,555025.82111,843877.00967,718386.39958,1172439.73254,721351.01599,940839.44683,338597.006203,217434.003712,174661.49461,8987536.345655002
Other,Public-private partnerships,Andre,23833.93695,19639.70006,38228.395,40609.79971,43982.521,48465.59907,50433.55558,89092.39278,113497.0035,135539.71371,105388.97557,131470.08546,106406.75904,118885.31541,193322.36047,90910.23058,110342.38286,74741.2648,1534789.99155
Other,Unspecified,Andre,261827.50953,335883.14071,67035.72387,1043.75996,46205.2517,127306.01333,98564.19287,117501.48121,128011.04799,100647.99586,47252.12929,60524.06921,65237.11135,53333.44185,59074.83233,97015.54117,78293.57276,43651.85612,1788408.6711099998
